61	9
75	3
5	1
38	14
3	20
87	72
141	6
27	2
108	97
16	3
100	57
17	72
140	35
23	33
20	1
36	1
2	114
142	96
110	193
136	3
133	157
18	258
124	3
73	16
106	8
122	1
86	343
50	14
60	30
82	9
102	19
42	694
33	8
41	360
105	6
84	2
130	58
58	1
34	1
29	78
123	21
21	8
67	20
118	14
35	26
57	77
85	5
44	5
127	22
1	7
53	565
79	687
13	5
47	3
92	8
138	34
137	18
103	53
95	6
144	1
116	10
15	83
81	1
40	1
117	13
89	5
76	196
146	16
19	19
88	12
143	2
69	7
101	5
6	53
77	1
66	1
135	1
107	31
59	4
39	1
145	2
139	102
48	26
129	3
132	7
126	1
11	47
56	18
104	41
49	5
99	3
24	457
78	108
80	5
111	1
28	11
134	24
91	9
55	153
113	387
98	3
10	8
43	240
125	1
121	72
4	1
62	120
120	454
63	10
30	7
9	8
71	13
114	6
25	2
128	122
37	181
26	119
96	1
119	8
72	7
65	81
97	271
14	25
32	1
54	11
8	70
52	32
115	3
22	5
64	65
90	439
94	20
131	217
93	143
46	15
12	1
68	25
83	28
45	6
112	17
7	44
70	193
74	42
31	15
109	6
51	3
